1,391,393
2,302,1123
1,393,1183
2,1279,302
1,1183,392
2,1033,1279
1,392,1479
2,390,1033
1,1479,391
2,1123,390
3,527,312
3,312,314
3,314,70
3,70,1337
3,1337,313
3,313,527
4,1580,2083
4,1581,1580
4,2258,1581
4,2144,2258
4,2083,2144
14,187,23
187,100,204
14,23,275
14,275,252
14,252,835
252,1489,835
14,10,187
187,10,100
14,835,10
253,836,251
251,836,545
253,275,23
251,717,253
253,717,275
253,23,187
253,187,249
249,187,204
253,249,836
249,204,9
835,142,10
142,205,100
142,100,10
835,1489,820
835,820,142
836,712,800
836,800,545
836,249,141
141,249,9
141,9,206
836,141,712
820,619,142
619,173,205
619,205,142
1489,198,820
712,141,618
618,141,206
618,206,172
1360,1240,2134
1360,1550,2148
1360,2134,1550
1360,394,472
472,394,524
1360,2148,394
1379,1549,1531
1379,1531,134
1379,2147,1549
1379,134,1241
1379,471,395
1379,395,2147
471,525,395
394,1911,524
395,525,1910
2148,1911,394
2148,2485,1911
2147,1910,2484
2147,395,1910
2485,2430,1911
2484,1910,2141
497,820,1240
1240,820,198
497,93,619
497,619,820
93,831,619
619,831,173
496,1241,800
496,800,712
496,618,92
92,618,830
496,712,618
618,172,830
497,1360,472
472,524,831
497,472,93
472,831,93
497,1240,1360
496,92,471
471,92,830
496,471,1379
471,830,525
496,1379,1241
1876,1145,2497
1876,1274,1145
1876,2497,2145
1145,1274,318
2145,1739,1876
1739,487,1274
1739,1274,1876
1739,2145,2095
2497,1145,1738
1738,1145,318
1738,318,488
1738,2094,2497
2474,2385,2606
1004,1148,1150
1004,1150,1739
1004,1739,2095
1004,2095,2316
2512,2330,2094
2512,2094,1738
2512,1738,1151
2512,1151,1149
1813,2474,905
1739,1150,487
1738,488,1151
1767,2316,2095
1767,2095,1587
2330,1636,1588
2330,1588,2094
2145,916,1587
2145,1587,2095
2497,2094,1588
2497,1588,1822
1822,2145,2497
1822,916,2145
2316,1767,2116
2166,2385,2692
2166,2471,2385
2166,197,2471
2420,2471,1715
2471,805,1715
2420,2606,2385
2420,2385,2471
1635,2116,1767
1849,1635,1641
1635,1849,2116
1635,1767,1587
1635,1587,2302
1635,2302,1641
2221,1640,2162
2221,2162,1562
2221,1562,1588
2221,1588,1636
1849,1641,1677
2221,1676,1640
2221,1636,2420
1797,1587,916
1797,2302,1587
1795,1822,1588
1795,1588,1562
1795,916,1822
1795,2527,1797
1795,1797,916
1849,2166,2116
2166,2692,2116
1715,1676,2221
1715,2221,2420
1849,1677,530
1715,529,1676
822,2166,1849
822,1849,530
822,530,783
822,197,2166
805,25,529
805,529,1715
2140,2233,164
2140,164,726
726,2560,2678
2140,726,2437
726,2678,2437
2233,2471,197
135,2140,2437
2437,2678,1278
135,2437,1278
2233,805,2471
135,248,2233
2233,248,805
135,2233,2140
2560,1278,2678
164,783,786
164,786,726
786,132,726
726,132,2686
726,2686,2560
164,2233,783
783,2233,197
783,197,822
233,135,1278
233,1278,131
1278,2686,131
248,25,805
233,18,248
248,18,25
233,248,135
2686,1278,2560
19,274,32
32,274,37
274,28,38
274,38,37
19,32,26
19,26,12
12,26,200
26,278,200
19,12,304
19,304,320
12,200,294
12,294,304
19,320,338
19,338,274
274,338,369
274,369,28
250,319,303
250,303,220
